ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
7.1610776656479365,200.54486431512376,18267.46412344162,7.523095499484016,318.1663379225955,373.83760517686744,13.31762016898063,78.2760636633816,3.7756632408706077,1
7.082998550158508,195.94986180694838,18607.417770633452,7.6586507549145555,328.6085112236404,373.4763441517528,13.678603457107936,72.47894224752613,3.7138624550207346,1
7.179641990739129,187.57718378655812,18192.356229700898,7.7164720289955575,329.22604533756714,357.12482071363775,13.44614485457574,78.11673190936406,3.7573643391082756,0
7.287276943444394,180.73806636585226,18502.712238965723,8.01430062468372,334.9297688193096,374.9787210319951,13.740567902754876,75.9713236206843,3.8738560058353944,1
7.0712077027703195,193.7583544518362,17486.903681304415,7.842027952010268,311.85096550766,387.92759084625436,13.989998759403683,78.10024682326896,3.9478035506943003,0
7.071209721555801,190.8086864967807,18836.641216257205,7.597164742897982,336.4345352022051,363.47684011939856,14.775475423962561,78.25739475801139,3.854914349248927,1
7.29418539163372,195.66489698333993,18700.7722572864,7.832901809344346,295.0698528706129,391.7729976199998,13.910047769947278,80.13705268757118,3.7933579267301867,1
7.194366390628608,193.14805620190708,18176.552844834387,7.569751124290404,321.09727049644584,384.94225056805965,12.965308372133531,79.56146906986334,3.976713530464757,1
7.042271828977345,197.15899802787268,19122.32905534993,7.910119632490886,322.8739629570613,370.0553021886787,15.001795494470267,79.54590223882543,3.7389194368882683,1
7.166715032650427,181.8192659793773,19300.63058357239,7.709028023891844,336.9459173510492,377.2758343983428,13.524572656819656,79.76553630925982,3.9153766283380627,1
7.043016580612113,199.75153074196783,17670.157451998457,7.757881798499327,329.28393378829327,398.4713385333904,14.10612735207395,77.15908998892577,3.7421726269562474,0
7.0427322817390765,188.91263760750476,18211.37967126912,7.941581854624465,311.3653642986944,387.93634669746615,14.483627323933307,76.57280164241112,3.8366003882362385,1
7.129752505807482,207.0871960070218,18207.268416662188,7.603417958393427,316.64196675886063,379.1070056838771,14.299137839092225,78.4742844599778,3.7650873714803836,1
6.864736538378101,180.3291033574473,18097.874862408025,7.589187859785546,331.4927018250002,376.10445524414325,14.96751030132597,78.1559438096661,3.7726656917845416,0
6.887898222738958,203.8030177002099,19231.382067723796,7.694471784600098,328.0079962860246,379.9332796051217,14.507884594880363,75.80090201021937,3.730442956676699,0
7.030859208458656,188.91564961868545,18575.83018894202,7.904384839025658,321.7341269598329,372.7655099003786,13.506477229328484,77.4156976650079,3.956601405728309,1
6.9754588325084175,180.694690969356,18530.54526043018,7.573369379512313,322.96730819890416,353.3591747557228,15.77770088634135,76.42061290927002,3.683754782583198,0
7.138640923345254,182.31629506348548,17416.276283735715,7.403468291679773,337.73434242820304,403.8785552767507,14.295195190799562,74.56843094214292,3.682795356719297,0
6.988346264045938,183.8992432445947,19107.06448187773,7.711611955498924,322.5048663218821,380.89222572554013,14.039915550573367,79.41898112103082,4.05852126445284,1
6.926338322070016,191.10565467564604,17906.100468619767,7.84140515093035,327.89477957416034,383.850375029786,14.870191640250392,76.62485892958563,3.9084074334478878,0
7.280221169303942,192.0607126391345,18738.39432299222,7.925335388301651,356.22470622769157,378.29454669505867,14.336375918317318,81.13411286758306,3.4667954274255033,1
7.072237776377527,181.44695142651383,18877.694516313306,7.710058616346384,311.1380303168604,370.04453932864936,14.448281174279806,72.82318822497902,3.7057722506455746,0
7.108303498265009,186.7642631464455,19571.6714981241,7.716754021122559,305.76619924105603,376.7350002403199,16.01202172785159,75.24058413835425,3.542056062026874,1
6.924808105783765,207.73580491065317,17861.53733084502,7.919335441753583,338.83116213827606,359.5155903433615,13.944444520349984,76.57382800968547,3.655158709438112,1
7.033060844287418,203.7215113657043,16765.625945760476,7.528021903964554,320.48553092349283,406.740297267699,13.912586675279934,79.07271983947003,3.3678615157443974,1
7.113639419787076,191.22333364969097,18817.778558556132,7.719718446422672,325.0072919867748,363.9607250993516,14.23710100156718,77.40358700553118,3.762011020207421,0
6.958469905762615,187.3678493267921,19853.451926718924,7.794644265211198,319.1993666407925,366.4282107822268,14.950577306856708,77.20227948746545,3.6300442978582748,1
